query,intent,old_url,current_url,old_clicks,current_clicks,old_impressions,current_impressions,old_position,current_position,position_delta,old_ctr,current_ctr,click_loss,migration_issue,cannibalisation,preferred_target_url,recommended_action,priority
hair specialist in sambalpur,commercial,,,0,0,51,26,10.08,10.08,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
doctors skin care,informational,,,0,0,48,23,29.71,29.35,-0.36,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
scalp micropigmentation near me,local informational,,,0,0,31,7,15.87,13.57,-2.3,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
ear piercing price in bhubaneswar,local informational,,,0,0,23,0,11.48,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
can laser remove facial hair permanently,informational,,,0,0,23,0,44.26,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair doctor in cuttack,commercial,,,0,0,60,38,10.88,10.71,-0.17,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
gfc therapy,commercial,,,0,0,43,21,13.26,11.00,-2.26,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
growth factor injections hair,informational,,,0,0,22,0,55.32,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair restoration in odisha,local informational,,,0,0,69,48,2.07,1.42,-0.65,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
derma radiance skin & hair clinic,branded,,,0,0,62,41,7.73,9.59,1.86,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
piercing bhubaneswar,local informational,,,0,0,44,23,8.82,8.91,0.09,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
growth factor concentrate for hair,informational,,,0,0,35,14,24.80,23.50,-1.3,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
plasma hair treatment near me,local commercial,,,0,0,26,5,23.15,21.80,-1.35,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
ear lobe repair in bhubaneswar,local informational,,,0,0,21,0,9.33,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
permanent hair reduction,informational,,,0,0,21,0,34.14,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair removal permanent,commercial,,,0,0,21,0,73.33,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair clinic near me,local commercial,,,0,0,88,68,6.18,7.19,1.01,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
skin treatment,commercial,,,0,0,26,6,25.96,7.00,-18.96,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
weight loss centres,informational,,,0,0,20,0,38.35,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
what is gfc hair treatment,informational,,,0,0,25,6,22.32,19.50,-2.82,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
permanent laser hair removal,commercial,,,0,0,19,0,45.16,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair clinic bhubaneswar,local commercial,,,1,3,159,141,3.29,2.96,-0.33,0.63,2.13,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair specialist near me,local commercial,,,0,0,38,20,6.29,6.95,0.66,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
roots restore,informational,,,0,0,34,16,8.41,11.25,2.84,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant cost in odisha,local commercial,,,0,0,27,9,1.93,2.00,0.07,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
ear piercing in bhubaneswar,local informational,,,0,0,24,6,10.92,10.50,-0.42,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair treatment clinic in kolkata,commercial,,,0,0,30,13,36.57,35.08,-1.49,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
beard transplant clinic in kolkata,commercial,,,0,0,30,13,46.20,42.69,-3.51,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hydrafacial price in bhubaneswar,local informational,,,0,0,28,11,11.14,10.82,-0.32,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
skin doctor bhubaneswar,local commercial,,,0,1,97,81,15.15,14.40,-0.75,0.00,1.23,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair specialist in cuttack,commercial,,,0,0,35,19,9.57,9.32,-0.25,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair doctor in sambalpur,commercial,,,0,0,33,17,9.97,9.24,-0.73,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiance skin clinic bhubaneswar,branded,,,0,0,16,0,1.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
piercing near me,local informational,,,0,0,54,39,10.19,10.18,-0.01,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiance skin & hair clinics bhubaneswar,branded,,,2,2,36,21,1.06,1.19,0.13,5.56,9.52,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
bio hair,informational,,,0,0,31,16,10.55,10.19,-0.36,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
lip lightening treatment near me,local commercial,,,0,0,15,0,47.27,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
what makes you feel most confident about your hair?,informational,,,0,0,15,0,10.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant sambalpur,commercial,,,0,0,15,0,3.80,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
high density hair transplant,commercial,,,0,0,15,0,40.20,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
gfc full form,commercial,,,0,0,15,0,25.93,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
dr srichandan skin specialist bhubaneswar,local commercial,,,0,0,15,0,2.87,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hydra facial price in bhubaneswar,local informational,,,0,0,53,39,10.04,8.82,-1.22,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
rupam clinic,commercial,,,0,0,43,29,27.63,26.45,-1.18,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
body hair transplant,commercial,,,0,0,32,18,77.03,74.94,-2.09,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best dermatologist in bhubaneswar for skin,local commercial,,,0,0,30,16,7.00,6.44,-0.56,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair specialist in balasore,commercial,,,0,0,30,16,7.13,8.50,1.37,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
anti aging fillers,informational,,,0,0,23,9,41.43,40.78,-0.65,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair fall doctor in bhubaneswar,local commercial,,,0,0,22,8,5.82,5.88,0.06,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
growth factor concentrate treatment,commercial,,,0,0,20,6,22.80,21.00,-1.8,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
growth factor injections for hair loss,informational,,,0,0,18,4,87.56,72.00,-15.56,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair,informational,,,0,0,14,0,5.14,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
tattoo removal,commercial,,,0,0,14,0,7.07,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant cuttack,commercial,,,0,0,14,0,4.36,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
acne zap,informational,,,0,0,14,0,11.21,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair specialist in bhubaneswar,local commercial,,,0,1,194,181,12.35,11.06,-1.29,0.00,0.55,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
facial doctor,commercial,,,0,0,70,57,7.79,7.07,-0.72,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
gfc,commercial,,,0,0,48,35,27.27,26.83,-0.44,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
berhampur hair doctor,commercial,,,0,0,35,22,6.97,7.09,0.12,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant kolkata,commercial,,,0,0,35,22,37.43,40.55,3.12,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
scalp micropigmentation clinic,commercial,,,0,0,27,14,18.11,18.79,0.68,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair loss affecting confidence,informational,,,0,0,23,10,16.52,16.90,0.38,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
how many sessions of prp are usually needed,informational,,,0,0,23,10,49.17,50.50,1.33,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best skin and hair doctor in bhubaneswar,local commercial,,,0,0,19,6,5.26,2.83,-2.43,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
can laser hair removal be permanent,informational,,,0,0,18,5,33.11,30.60,-2.51,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
check pimple,informational,,,0,0,16,3,2.12,2.00,-0.12,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
prp session gap,commercial,,,0,0,13,0,7.62,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair toppers shop near me,local informational,,,0,0,13,0,46.85,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
does gfc treatment work,informational,,,0,0,13,0,1.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
fue vs fut hair transplant,commercial,,,0,0,13,0,21.46,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiance hair transplant,branded,,,0,4,128,116,38.27,36.48,-1.79,0.00,3.45,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
top 10 hair transplant in bhubaneswar,local commercial,,,0,0,95,83,8.31,7.71,-0.6,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
scarring alopecia,informational,,,0,0,44,32,88.09,91.44,3.35,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
hydrafacial in bhubaneswar,local informational,,,0,0,40,28,10.68,12.68,2,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hydrafacial treatment in bhubaneswar,local commercial,,,0,0,34,22,25.94,26.77,0.83,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
non surgical hair transplant in kolkata,commercial,,,0,0,29,17,46.00,44.06,-1.94,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair clinic berhampur,commercial,,,0,0,26,14,7.81,8.00,0.19,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
scarring hair loss,informational,,,0,0,25,13,76.56,80.31,3.75,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
smp micropigmentation near me,local informational,,,0,0,21,9,11.57,12.11,0.54,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
how long does ombre brows last,informational,,,0,0,20,8,43.70,36.75,-6.95,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
how many prp sessions are needed for hair,informational,,,0,0,19,7,22.05,18.14,-3.91,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant ka result kab tak aata hai,commercial,,,0,0,18,6,9.00,10.67,1.67,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
lung transplantation in bhubaneswar,local informational,,,0,0,16,4,17.81,10.25,-7.56,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
smp clinic near me,local commercial,,,0,0,16,4,8.50,11.00,2.5,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiance hair & skin clinic,branded,,,0,0,12,0,18.33,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair loss treatment in bhubaneswar,local commercial,,,0,0,12,0,3.58,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
lip laser treatment cost,commercial,,,0,0,12,0,26.50,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
laser hair removal is it permanent,commercial,,,0,0,12,0,32.75,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
does laser hair removal permanently remove hair,informational,,,0,0,12,0,32.33,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
acnechecker,informational,,,0,0,12,0,10.42,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
under eye rejuvenation,informational,,,0,0,12,0,46.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair doctor kolkata,commercial,,,0,0,143,132,8.29,5.92,-2.37,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
skin clinic near me,local commercial,,,0,0,109,98,8.44,8.80,0.36,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
doctor for face skin,commercial,,,0,0,32,21,11.59,13.62,2.03,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
cheap hair transplant risks,commercial,,,0,0,23,12,65.22,64.33,-0.89,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
gfc hair,commercial,,,0,0,17,6,27.18,23.17,-4.01,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
gfc hair treatment process,commercial,,,0,0,16,5,4.19,4.60,0.41,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair wig centre in bhubaneswar,local informational,,,0,0,16,5,7.88,7.80,-0.08,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
check pimples,informational,,,0,0,15,4,1.53,1.75,0.22,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
wig shop in bhubaneswar,local informational,,,0,0,15,4,5.80,5.50,-0.3,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
does laser remove hair permanently,informational,,,0,0,15,4,33.87,34.75,0.88,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
dr partha skin and hair clinic,commercial,,,0,0,14,3,2.36,3.00,0.64,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
botox treatments,commercial,,,0,0,11,0,46.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
बालो का डॉक्टर नियर में,informational,,,0,0,11,0,10.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
acne cheker,informational,,,0,0,11,0,9.64,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
near me laser hair removal clinic,local commercial,,,0,0,11,0,7.27,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
บำรุงผม gfc,commercial,,,0,0,58,48,35.31,34.15,-1.16,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiant hair transplant clinic,commercial,,,0,0,40,30,38.08,37.83,-0.25,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair doctor balasore,commercial,,,0,0,27,17,9.67,10.06,0.39,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
chest hair restoration in kolkata,informational,,,0,0,25,15,40.52,37.93,-2.59,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
growth factor hair,informational,,,0,0,25,15,60.88,53.80,-7.08,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair growth factor treatment,commercial,,,0,0,23,13,34.83,38.69,3.86,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
how long do powder brows last,informational,,,0,0,21,11,48.86,53.55,4.69,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
laser hair reduction,commercial,,,0,0,20,10,50.40,18.70,-31.7,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best dermatologist doctor in bhubaneswar,local commercial,,,0,0,18,8,7.11,7.38,0.27,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant in bhubaneswar cost,local commercial,,,0,0,16,6,2.38,5.00,2.62,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
is gfc treatment effective,informational,,,0,0,16,6,1.00,1.00,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair doctors near me,local informational,,,0,0,14,4,7.79,10.25,2.46,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiant skin,informational,,,0,0,13,3,15.31,4.00,-11.31,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
professional acne treatment,commercial,,,0,0,10,0,81.20,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
doctor for skin care,commercial,,,0,0,10,0,24.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
eyebrow transplant in bhubaneswar,local commercial,,,0,0,10,0,4.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
inch loss treatment near me,local commercial,,,0,0,10,0,42.30,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
skin care bhubaneswar,local informational,,,0,0,10,0,7.30,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
can laser treatment remove hair permanently,informational,,,0,0,10,0,37.50,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
root restore,informational,,,0,0,10,0,6.20,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
"""semi-autobiography"" ""that hair""",informational,,,0,0,10,0,2.00,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
permanent removal of hair,commercial,,,0,0,10,0,46.80,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair gfc,commercial,,,0,0,10,0,6.80,,0,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
anti aging treatment in bhubaneswar,local commercial,,,0,0,40,31,15.65,18.26,2.61,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
can laser remove hair permanently,informational,,,0,0,13,4,36.85,39.00,2.15,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best skin doctor in bbsr,local commercial,,,0,0,14,6,7.50,9.67,2.17,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
hair transplant in vizag,commercial,,,0,0,13,6,35.31,39.17,3.86,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
glutathione treatment in bhubaneswar,local commercial,,,0,1,53,47,18.55,22.23,3.68,0.00,2.13,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
how to reverse the signs of ageing,informational,,,0,0,46,40,51.67,56.35,4.68,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
painless warts removal,commercial,,,0,0,21,15,1.00,4.20,3.2,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
electrolysis hair removal,commercial,,,0,0,10,4,3.40,7.50,4.1,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
best skin doctor near me,local commercial,,,0,0,12,7,7.58,11.71,4.13,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
dr skin care,informational,,,0,0,10,5,27.50,31.20,3.7,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
growth factor hair treatment,commercial,,,0,0,9,4,33.00,35.00,2,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
weight loss treatment near you,commercial,,,0,0,12,8,13.00,16.25,3.25,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
mesotherapy for hair,informational,,,0,0,7,4,1.43,3.75,2.32,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
prp treatment for hair near me,local commercial,,,0,0,7,4,10.86,14.50,3.64,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
hydra facial in bhubaneswar,local informational,,,1,1,82,80,12.62,15.44,2.82,1.22,1.25,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
"radiance skin, hair & cosmetic center",branded,,,0,0,9,7,10.67,13.00,2.33,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
gfc ผม,commercial,,,0,0,51,50,34.33,36.44,2.11,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
carbon facial in bhubaneswar,local informational,,,0,0,33,32,12.21,15.06,2.85,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
skin treatment in bhubaneswar,local commercial,,,0,0,14,13,6.93,9.31,2.38,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
skin specialist near me,local commercial,,,0,0,11,10,11.45,16.30,4.85,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
bhubaneswar dermatologist,local commercial,,,0,0,10,9,5.30,7.78,2.48,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
exosome mesotherapy treatment in bhubaneswar,local commercial,,,0,0,8,7,11.50,15.57,4.07,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
best plastic surgeon in odisha,local informational,,,0,0,7,6,11.29,13.33,2.04,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
best hair clinic in bhubaneswar,local commercial,,,1,2,153,166,11.12,13.57,2.45,0.65,1.20,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
gfc กระตุ้นรากผม,commercial,,,0,0,71,108,51.32,53.90,2.58,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
skin radiance clinic,branded,,,0,1,25,38,33.76,36.03,2.27,0.00,2.63,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
radiance clinics,branded,,,0,0,21,38,6.57,9.37,2.8,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
exosomes treatment in bhubaneswar,local commercial,,,0,0,30,34,33.63,38.00,4.37,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
skin doctor in bhubaneswar,local commercial,,,0,0,22,33,12.27,15.30,3.03,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
best hair treatment doctor in bhubaneswar,local commercial,,,0,0,21,32,2.81,5.50,2.69,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
doctor skin care,commercial,,,0,0,27,28,36.00,39.93,3.93,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
gfc treatment for hair loss,commercial,,,0,0,13,22,11.00,13.18,2.18,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
trichologist in bhubaneswar,local informational,,,0,0,10,19,1.00,5.79,4.79,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,"Review intent match, indexation and internal links",P2
laser treatment near me,local commercial,,,0,0,13,16,5.77,7.81,2.04,0.00,0.00,0,unresolved; insufficient page-level evidence,not established,,Validate query-to-page ownership before changing content,P2
