outlet,article URL,backlink present yes/no,current backlink target,desired Radiance target page,outreach priority,verification status,topic,publication date,official logo URL,source record,audited at
India Briefings,https://indiabriefings.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Bulletin Live,https://indiabulletinlive.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiabulletinlive.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Bulletin News,https://indiabulletinnews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiabulletinnews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Buzz Channel,https://indiabuzzchannel.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiabuzzchannel.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Buzz Feednews,https://indiabuzzfeednews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiabuzzfeednews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Buzz News,https://indiabuzznews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Buzz Times,https://indiabuzztimes.com/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiabuzztimes.com/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Career Week,https://indiacareerweek.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Current Affairs,https://indiacurrentaffairs.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiacurrentaffairs.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Current Update,https://indiacurrentupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Flash Bulletin,https://indiaflashbulletin.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiaflashbulletin.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Flash News,https://indiaflashnews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Flashnewsfeed,https://indiaflashnewsfeed.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiaflashnewsfeed.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Forbes News,https://indiaforbesnews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Global Live,https://indiagloballive.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiagloballive.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Global News,https://indiaglobalnews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Globalnews,https://indiaglobalnews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Globe Today,https://indiaglobetoday.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiaglobetoday.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Latest News,https://indialatestnews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indialatestnews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Latest News Feed,https://indialatestnewsfeed.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indialatestnewsfeed.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India latest News Update,https://indialatestnewsupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indialatestnewsupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Live New Update,https://indialivenewsupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indialivenewsupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Live News,https://indialivenews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indialivenews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Live News Feed,https://indialivenewsfeed.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Live News Today,https://indialivenewstoday.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indialivenewstoday.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Mirror News,https://indiamirrornews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiamirrornews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India News Break,https://indianewsbreak.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianewsbreak.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India News Connect,https://indianewsconnect.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianewsconnect.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India News Junction,https://indianewsjunction.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianewsjunction.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India News Nation,https://indianewsnation.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianewsnation.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India News Portal,https://indianewsportal.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianewsportal.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India News Wire,https://indianewswire.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianewswire.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Post Daily,https://indiapostdaily.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Press Buzz,https://indiapressbuzz.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiapressbuzz.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India press Coverage,https://indiapresscoverage.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiapresscoverage.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Press Dispatch,https://indiapressdispatch.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiapressdispatch.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Press Journal,https://indiapressjournal.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Pulse Update,https://indiapulseupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiapulseupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Reporter Live,https://indiareporterlive.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India state News,https://indiastatenews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiastatenews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Story Line,https://indiastoryline.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiastoryline.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Times News,https://indiatimesnews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Times Online,https://indiatimesonline.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatimesonline.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Today Daily,https://indiatodaydaily.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatodaydaily.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Today Headline,https://indiatodayheadlines.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatodayheadlines.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Today Live Update,https://indiatodayliveupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatodayliveupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Today Newsflash,https://indiatodaynewsflash.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatodaynewsflash.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Today Times,https://indiatodaytimes.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatodaytimes.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Today Updates,https://indiatodayupdates.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatodayupdates.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Tribune Times,https://indiatribunetimes.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiatribunetimes.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Vibes Media,https://indiavibesmedia.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiavibesmedia.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Viral Newsnow,https://indiaviralnewsnow.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiaviralnewsnow.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Watch Daily,https://indiawatchdaily.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiawatchdaily.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Watch Live,https://indiawatchlive.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiawatchlive.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Wire Channel,https://indiawirechannel.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiawirechannel.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Wire Media,https://indiawiremedia.com/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiawiremedia.com/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India Wire News,https://indiawirenews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
India World News,https://indiaworldnews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Daily Press,https://indiandailypress.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Express Daily,https://indianexpressdaily.com/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianexpressdaily.com/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Express News,https://indianexpressnews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Express Newsfeed,https://indianexpressnewsfeed.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianexpressnewsfeed.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Express Update,https://indianexpressupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianexpressupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Focus News,https://indianfocusnews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianfocusnews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian For Media,https://indiainformedia.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiainformedia.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Former,https://indiainformer.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiainformer.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Headline Buzz,https://indianheadlinebuzz.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianheadlinebuzz.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Headline News,https://indianheadlinenews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian News Beat,https://indiannewsbeat.com/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian News Channel,https://indiannewschannel.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian News Daily Update,https://indiannewsdailyupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiannewsdailyupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian News Update,https://indiannewsupdate.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiannewsupdate.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian News Views,https://indiannewsviews.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indiannewsviews.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian press Connect,https://indianpressconnect.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Press Coverage,https://indianpresscoverage.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianpresscoverage.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Press Wire,https://indianpresswire.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://indianpresswire.co.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian Pulse Media,https://indianpulsemedia.co.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indian World News,https://indianworldnews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Indsider India Times,https://insiderindiatimes.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Insightful News,https://insightfulnews.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,no,,/laser-hair-removal-bhubaneswar,review source,unavailable: URLError,Laser Hair Reduction,,,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
Jammu and Kashmir News Report,https://jammuandkashmirnewsreport.in/dr-satyartha-prakash-and-the-rise-of-laser-hair-reduction-in-bhubaneswar/,yes,http://www.radianceclinics.com/,/laser-hair-removal-bhubaneswar,medium,verified live article,Laser Hair Reduction,2026-09-15,https://jammuandkashmirnewsreport.in/favicon.ico,PR-0926-1007 publisher workbook,2026-09-18T16:14:45.010499+00:00
